,0,1,2,3,4,5,6
0,CHGastro_Normal_001.png,8,21,13,42,5,0
1,CHGastro_Normal_003.png,8,50,5,46,8,0
2,CHGastro_Normal_006.png,18,24,19,53,15,0
3,CHGastro_Normal_007.png,30,43,18,100,13,0
4,CHGastro_Normal_009.png,7,54,7,74,6,0
5,CHGastro_Normal_010.png,22,3,0,0,1,0
6,CHGastro_Normal_018.png,0,0,3,0,0,0
7,CHGastro_Normal_043.png,33,3,0,5,2,0
8,CHGastro_Normal_044.png,30,0,3,0,7,0
9,CHGastro_Normal_047.png,76,97,60,157,60,0
10,CHGastro_Normal_059.png,16,92,18,61,17,0
11,CHGastro_Normal_075.png,42,43,57,225,65,0
12,CHGastro_Normal_076.png,38,22,40,184,40,0
13,CHGastro_Normal_095.png,41,39,21,43,18,0
14,CHGastro_Normal_108.png,30,72,45,53,30,0
15,CHGastro_Normal_119.png,2,11,4,7,1,0
16,CHGastro_Normal_120.png,25,49,23,14,18,0
17,CHGastro_Normal_121.png,7,20,11,42,10,0
18,CHGastro_Normal_122.png,7,19,7,40,4,0
19,CHGastro_Normal_130.png,1,32,8,1,1,0
20,CHGastro_Normal_157.png,14,23,18,5,12,0
21,CHGastro_Normal_158.png,10,25,6,5,1,0
22,CHGastro_Normal_166.png,6,1,0,12,2,0
23,CHGastro_Normal_167.png,23,17,35,36,25,0
24,CHGastro_Normal_168.png,1,19,6,5,3,0
25,CHGastro_Normal_169.png,11,24,12,2,3,0
26,CHGastro_Normal_172.png,1,13,3,32,4,0
27,CHGastro_Normal_173.png,1,12,1,22,3,0
28,CHGastro_Abnormal_013.png,340,86,314,708,315,1
29,CHGastro_Abnormal_021.png,30,27,17,45,16,1
30,CHGastro_Abnormal_022.png,28,14,26,57,28,1
31,CHGastro_Abnormal_023.png,27,67,35,67,14,1
32,CHGastro_Abnormal_028.png,59,49,89,243,78,1
33,CHGastro_Abnormal_030.png,6,16,10,53,6,1
34,CHGastro_Abnormal_032.png,205,132,215,159,185,1
35,CHGastro_Abnormal_036.png,129,147,143,155,134,1
36,CHGastro_Abnormal_037.png,33,42,50,91,48,1
37,CHGastro_Abnormal_041.png,39,33,41,3,28,1
38,CHGastro_Abnormal_042.png,20,40,32,6,21,1
39,CHGastro_Abnormal_045.png,51,60,68,54,30,1
40,CHGastro_Abnormal_054.png,625,162,448,458,540,1
41,CHGastro_Abnormal_056.png,98,96,128,144,123,1
42,CHGastro_Abnormal_060.png,436,213,514,581,513,1
43,CHGastro_Abnormal_064.png,7,56,8,34,14,1
44,CHGastro_Abnormal_065.png,198,230,189,297,189,1
45,CHGastro_Abnormal_068.png,210,83,249,162,224,1
46,CHGastro_Abnormal_069.png,91,87,89,183,85,1
47,CHGastro_Abnormal_072.png,106,119,130,238,123,1
48,CHGastro_Abnormal_073.png,338,200,275,400,322,1
49,CHGastro_Abnormal_074.png,339,176,276,353,287,1
50,CHGastro_Abnormal_080.png,284,153,259,316,299,1
51,CHGastro_Abnormal_082.png,4,21,2,35,5,1
52,CHGastro_Abnormal_084.png,1,13,2,28,2,1
53,CHGastro_Abnormal_085.png,10,1,0,15,1,1
54,CHGastro_Abnormal_086.png,20,32,21,41,8,1
55,CHGastro_Abnormal_088.png,9,0,0,0,1,1
56,CHGastro_Abnormal_091.png,84,64,135,133,117,1
57,CHGastro_Abnormal_093.png,152,60,143,165,138,1
58,CHGastro_Abnormal_097.png,14,80,20,49,34,1
59,CHGastro_Abnormal_100.png,204,64,239,301,252,1
60,CHGastro_Abnormal_101.png,71,29,38,29,48,1
61,CHGastro_Abnormal_103.png,231,86,286,239,243,1
62,CHGastro_Abnormal_105.png,132,79,151,92,104,1
63,CHGastro_Abnormal_109.png,59,73,62,125,59,1
64,CHGastro_Abnormal_112.png,64,48,77,96,74,1
65,CHGastro_Abnormal_113.png,306,107,374,347,366,1
66,CHGastro_Abnormal_116.png,386,198,417,515,400,1
67,CHGastro_Abnormal_125.png,76,98,103,82,73,1
68,CHGastro_Abnormal_126.png,78,98,105,80,69,1
69,CHGastro_Abnormal_127.png,181,90,126,170,83,1
70,CHGastro_Abnormal_134.png,160,56,198,134,166,1
71,CHGastro_Abnormal_135.png,109,114,134,101,130,1
72,CHGastro_Abnormal_136.png,146,146,172,203,169,1
73,CHGastro_Abnormal_137.png,187,168,181,209,215,1
74,CHGastro_Abnormal_139.png,319,168,337,158,298,1
75,CHGastro_Abnormal_143.png,190,193,285,194,227,1
76,CHGastro_Abnormal_144.png,46,125,66,135,56,1
77,CHGastro_Abnormal_145.png,338,81,342,122,315,1
78,CHGastro_Abnormal_146.png,428,108,377,152,399,1
79,CHGastro_Abnormal_147.png,445,103,366,160,384,1
80,CHGastro_Abnormal_149.png,271,99,211,358,259,1
81,CHGastro_Abnormal_153.png,639,315,564,499,565,1
82,CHGastro_Abnormal_155.png,72,31,82,25,40,1
83,CHGastro_Abnormal_159.png,290,107,306,234,274,1
84,CHGastro_Abnormal_161.png,260,87,284,282,261,1
85,CHGastro_Abnormal_162.png,390,185,406,193,343,1
86,CHGastro_Abnormal_164.png,79,32,109,60,97,1
87,CHGastro_Abnormal_174.png,55,25,87,2,40,1
