,Method,Feature Descriptor,k-cluster,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC
32,DecisionTree,sift,128,83.17,82.68,78.7,78.75,79.19,78.7
33,DecisionTree,sift,256,82.22,80.47,80.0,89.17,79.49,80.0
34,DecisionTree,sift,64,83.89,82.9,80.83,90.0,81.19,80.83
35,DecisionTree,surf,128,88.41,85.96,86.67,90.0,85.9,86.67
36,DecisionTree,surf,256,83.33,82.65,81.2,87.0,81.2,81.2
37,DecisionTree,surf,64,83.57,81.72,81.2,87.0,80.08,81.2
38,DecisionTree,surf100,128,83.03,81.62,82.76,89.17,80.39,82.76
39,DecisionTree,surf100,256,80.68,79.5,79.09,89.02,77.29,79.09
40,DecisionTree,surf100,64,84.23,83.8,81.63,92.42,81.13,81.63
41,DecisionTree,surf50,128,79.35,77.65,76.17,88.18,75.5,76.17
42,DecisionTree,surf50,256,77.56,77.61,73.71,85.76,73.55,73.71
43,DecisionTree,surf50,512,75.9,71.89,71.63,85.53,71.11,71.63
44,DecisionTree,surf50,64,81.45,79.24,79.96,87.0,78.87,79.96
45,DecisionTree,surf0,1024,77.01,74.59,73.3,85.53,72.54,73.3
46,DecisionTree,surf0,128,81.03,79.2,76.97,88.18,76.47,76.97
47,DecisionTree,surf0,256,78.8,78.29,74.92,88.33,74.55,74.92
48,DecisionTree,surf0,512,78.03,74.94,74.89,84.92,74.27,74.89
49,DecisionTree,surf0,64,82.9,81.65,81.17,89.17,79.8,81.17
50,DecisionTree,orb,128,79.12,75.6,75.42,87.0,75.3,75.42
51,DecisionTree,orb,256,81.51,81.32,77.92,86.67,77.81,77.92
52,DecisionTree,orb,64,83.1,83.0,79.17,86.0,79.49,79.17
53,DecisionTree,brisk,128,78.24,75.06,74.67,86.67,74.15,74.67
54,DecisionTree,brisk,256,76.47,72.79,69.58,87.0,69.39,69.58
55,DecisionTree,brisk,64,78.24,75.57,76.42,80.0,74.97,76.42
56,DecisionTree,kaze,128,79.02,78.08,77.92,89.17,74.9,77.92
57,DecisionTree,kaze,256,77.22,75.72,70.0,86.67,74.76,70.0
58,DecisionTree,kaze,64,78.46,75.14,75.83,88.33,74.08,75.83
59,DecisionTree,akaze,128,75.66,74.31,72.26,84.92,70.85,72.26
60,DecisionTree,akaze,256,78.46,75.14,75.83,88.33,74.08,75.83
61,DecisionTree,akaze,64,79.23,77.67,74.21,88.18,73.8,74.21
