,Method,Feature Descriptor,k-cluster,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC
62,ExtraTreeClassifier,sift,128,89.83,89.8,89.58,91.67,89.07,89.58
63,ExtraTreeClassifier,sift,256,86.51,86.25,84.58,92.0,84.51,84.58
64,ExtraTreeClassifier,sift,64,90.56,90.82,90.83,93.33,89.52,90.83
65,ExtraTreeClassifier,surf100,128,96.33,92.52,92.0,96.67,92.43,96.0
66,ExtraTreeClassifier,surf100,256,90.34,90.04,89.13,97.0,88.57,89.13
67,ExtraTreeClassifier,surf100,64,92.01,92.83,91.17,97.0,89.96,91.17
68,ExtraTreeClassifier,surf50,128,88.33,88.84,84.58,97.0,85.72,84.58
69,ExtraTreeClassifier,surf50,256,90.13,89.69,88.26,98.33,87.87,88.26
70,ExtraTreeClassifier,surf50,512,84.23,87.38,81.63,100.0,81.12,81.63
71,ExtraTreeClassifier,surf50,64,90.0,90.4,88.7,95.83,88.4,88.7
72,ExtraTreeClassifier,surf0,1024,86.67,89.55,82.0,99.17,83.06,82.0
73,ExtraTreeClassifier,surf0,128,90.56,90.7,89.17,95.83,89.27,89.17
74,ExtraTreeClassifier,surf0,256,90.63,91.29,88.33,95.83,88.23,88.33
75,ExtraTreeClassifier,surf0,512,89.02,90.09,84.92,98.33,84.87,84.92
76,ExtraTreeClassifier,surf0,64,89.57,89.54,88.3,93.33,87.43,88.3
77,ExtraTreeClassifier,orb,128,86.67,85.95,84.58,92.0,84.87,84.58
78,ExtraTreeClassifier,orb,256,82.61,82.5,80.42,91.67,79.21,80.42
79,ExtraTreeClassifier,orb,64,87.14,87.11,87.92,91.67,85.65,87.92
80,ExtraTreeClassifier,brisk,128,81.76,80.96,70.0,93.33,76.39,70.0
81,ExtraTreeClassifier,brisk,256,78.82,80.31,71.7,93.33,72.91,71.7
82,ExtraTreeClassifier,brisk,64,81.18,79.68,76.7,90.83,77.22,76.7
83,ExtraTreeClassifier,kaze,128,83.68,84.9,80.42,92.0,79.03,80.42
84,ExtraTreeClassifier,kaze,256,82.56,85.08,78.33,93.33,77.9,78.33
85,ExtraTreeClassifier,kaze,64,83.59,82.18,77.0,91.67,78.62,77.0
86,ExtraTreeClassifier,akaze,128,81.73,83.03,75.96,93.33,76.69,75.96
87,ExtraTreeClassifier,akaze,256,82.87,81.83,78.58,90.0,79.2,78.58
88,ExtraTreeClassifier,akaze,64,84.01,84.91,78.2,90.0,79.0,78.2
