,Method,Feature Descriptor,k-cluster,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC
89,LogisticRegression,sift,128,80.24,78.62,81.67,99.17,75.83,81.67
90,LogisticRegression,sift,256,84.84,88.42,82.92,100.0,79.46,82.92
91,LogisticRegression,sift,64,84.84,88.42,82.92,100.0,79.46,82.92
92,LogisticRegression,surf,128,78.57,77.74,88.36,100.0,75.82,0.0
93,LogisticRegression,surf,256,80.4,82.17,81.67,99.17,75.04,81.67
94,LogisticRegression,surf,64,85.4,87.55,87.08,99.17,82.48,87.08
95,LogisticRegression,surf100,128,85.9,84.48,86.21,100.0,84.3,86.21
96,LogisticRegression,surf100,256,84.02,83.68,80.76,100.0,80.01,80.76
97,LogisticRegression,surf100,64,82.82,80.88,85.26,100.0,80.22,85.26
98,LogisticRegression,surf50,128,78.46,77.35,81.14,100.0,76.6,81.14
99,LogisticRegression,surf50,256,81.24,78.74,81.89,100.0,79.14,81.89
100,LogisticRegression,surf50,512,81.67,81.29,81.2,100.0,80.02,81.2
101,LogisticRegression,surf50,64,79.79,79.1,82.46,100.0,78.39,82.46
102,LogisticRegression,surf0,1024,85.9,84.99,87.04,100.0,84.39,87.04
103,LogisticRegression,surf0,128,79.57,78.42,82.84,100.0,78.26,82.84
104,LogisticRegression,surf0,256,79.23,81.16,84.13,100.0,78.38,84.13
105,LogisticRegression,surf0,512,79.23,81.16,84.13,100.0,78.38,84.13
106,LogisticRegression,surf0,64,78.59,77.68,79.89,100.0,76.26,79.89
107,LogisticRegression,orb,128,73.02,73.94,77.08,100.0,70.51,77.08
108,LogisticRegression,orb,256,73.17,72.57,74.58,99.17,67.98,74.58
109,LogisticRegression,orb,64,74.37,75.02,78.33,100.0,71.93,78.33
110,LogisticRegression,brisk,128,72.94,67.08,69.7,99.17,67.24,69.7
111,LogisticRegression,brisk,256,75.29,75.27,73.33,99.17,71.44,73.33
112,LogisticRegression,brisk,64,74.12,73.3,68.2,99.17,67.67,68.2
113,LogisticRegression,kaze,128,74.37,75.02,78.33,100.0,71.93,78.33
114,LogisticRegression,kaze,256,78.71,78.87,76.05,99.17,70.37,76.05
115,LogisticRegression,kaze,64,78.7,76.64,70.0,99.17,76.13,70.0
116,LogisticRegression,akaze,128,78.71,78.24,79.22,100.0,75.9,79.22
117,LogisticRegression,akaze,256,78.71,78.87,76.05,99.17,70.37,76.05
118,LogisticRegression,akaze,64,78.7,76.64,70.0,99.17,76.13,70.0
