,Method,Feature Descriptor,k-cluster,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC
119,RandomForest,sift,128,86.66,89.73,90.83,90.83,89.17,90.83
120,RandomForest,sift,256,86.67,86.46,86.2,89.17,85.49,86.2
121,RandomForest,sift,64,91.11,91.06,91.67,90.83,90.12,91.67
122,RandomForest,surf,128,88.17,89.01,86.67,90.83,86.05,86.67
123,RandomForest,surf,256,87.61,86.24,85.83,91.67,85.18,85.83
124,RandomForest,surf,64,90.79,89.8,91.67,93.33,89.36,91.67
125,RandomForest,surf100,128,90.0,94.34,95.42,95.83,94.4,95.42
126,RandomForest,surf100,256,90.34,90.89,89.13,95.76,88.49,89.13
127,RandomForest,surf100,64,90.47,89.4,90.8,93.33,88.98,90.8
128,RandomForest,surf50,128,89.79,89.11,88.3,94.92,88.01,88.3
129,RandomForest,surf50,256,85.67,89.85,87.92,96.67,88.37,87.92
130,RandomForest,surf50,512,84.57,85.56,79.63,98.15,80.59,79.63
131,RandomForest,surf50,64,89.23,88.32,88.3,92.0,87.58,88.3
132,RandomForest,surf0,1024,86.67,88.88,82.0,99.17,83.79,82.0
133,RandomForest,surf0,128,90.34,91.15,87.0,95.83,87.98,87.0
134,RandomForest,surf0,256,88.33,89.95,87.08,94.92,86.78,87.08
135,RandomForest,surf0,512,88.25,85.88,85.8,96.67,84.99,85.8
136,RandomForest,surf0,64,89.57,88.79,87.88,92.42,87.3,87.88
137,RandomForest,orb,128,87.22,87.16,85.83,93.33,85.45,85.83
138,RandomForest,orb,256,84.12,82.41,81.67,89.17,80.85,81.67
139,RandomForest,orb,64,86.03,86.35,87.0,89.33,84.57,87.0
140,RandomForest,brisk,128,81.76,80.38,76.58,91.67,77.1,76.58
141,RandomForest,brisk,256,82.37,80.46,73.33,92.0,73.88,73.33
142,RandomForest,brisk,64,82.35,82.0,78.7,93.63,78.87,78.7
143,RandomForest,kaze,128,84.79,85.54,82.0,90.83,81.04,82.0
144,RandomForest,kaze,256,82.56,83.04,79.58,90.54,79.32,79.58
145,RandomForest,kaze,64,85.26,83.0,80.42,90.67,81.09,80.42
146,RandomForest,akaze,128,82.87,84.44,79.13,90.76,79.33,79.13
147,RandomForest,akaze,256,84.01,82.66,83.46,90.83,81.22,83.46
148,RandomForest,akaze,64,84.04,83.37,79.96,91.67,79.86,79.96
