,Algo,AUC,F1,SPEC,SENS,PRE,ACC
0,SVM sift 128,(79.57 - 81.27),(78.02 - 79.81),(86.72 - 88.28),(79.57 - 81.27),(80.22 - 82.1),(84.18 - 85.19)
1,SVM sift 256,(83.74 - 85.42),(83.25 - 84.99),(86.69 - 88.31),(83.74 - 85.42),(83.66 - 85.39),(84.75 - 86.36)
2,SVM sift 32,(70.27 - 71.4),(71.3 - 72.64),(96.32 - 97.01),(70.27 - 71.4),(79.91 - 81.7),(81.06 - 81.64)
3,SVM sift 512,(79.97 - 80.86),(80.31 - 81.32),(90.4 - 91.26),(79.97 - 80.86),(82.36 - 83.56),(84.19 - 84.86)
4,SVM sift 64,(85.95 - 87.39),(84.99 - 86.38),(89.31 - 90.69),(85.95 - 87.39),(88.24 - 89.3),(87.21 - 88.35)
5,SVM surf 128,(82.45 - 84.22),(82.26 - 84.32),(96.32 - 97.01),(82.45 - 84.22),(85.65 - 87.94),(88.16 - 89.3)
6,SVM surf 256,(74.48 - 76.35),(73.0 - 75.09),(91.96 - 93.04),(74.48 - 76.35),(76.64 - 78.9),(80.29 - 81.62)
7,SVM surf 64,(89.46 - 90.54),(87.86 - 89.11),(89.08 - 90.92),(89.46 - 90.54),(89.33 - 90.44),(89.23 - 90.45)
8,SVM surf100 128,(92.2 - 92.8),(91.16 - 91.76),(91.34 - 91.99),(92.2 - 92.8),(90.81 - 91.44),(91.95 - 92.5)
9,SVM surf100 256,(88.31 - 89.11),(87.68 - 88.41),(92.06 - 92.79),(88.31 - 89.11),(88.09 - 88.88),(89.46 - 90.12)
10,SVM surf100 64,(92.12 - 92.73),(88.58 - 89.41),(86.04 - 86.99),(92.12 - 92.73),(87.68 - 88.48),(89.77 - 90.49)
11,SVM surf50 128,(86.58 - 87.51),(86.65 - 87.45),(93.76 - 94.42),(86.58 - 87.51),(88.24 - 89.1),(88.88 - 89.58)
12,SVM surf50 256,(90.8 - 91.7),(90.73 - 91.61),(93.76 - 94.57),(90.8 - 91.7),(91.61 - 92.46),(91.84 - 92.61)
13,SVM surf50 512,(87.01 - 88.67),(84.41 - 86.12),(84.84 - 86.52),(87.01 - 88.67),(84.1 - 85.73),(85.99 - 87.6)
14,SVM surf50 64,(88.17 - 89.33),(88.18 - 89.35),(91.96 - 93.04),(88.17 - 89.33),(89.11 - 90.31),(89.47 - 90.53)
15,SVM surf0 1024,(84.72 - 86.11),(84.3 - 85.66),(90.29 - 91.37),(84.72 - 86.11),(86.47 - 87.66),(86.69 - 87.76)
16,SVM surf0 128,(89.1 - 90.06),(86.59 - 87.64),(83.49 - 84.84),(89.1 - 90.06),(86.78 - 87.82),(87.27 - 88.28)
17,SVM surf0 256,(90.52 - 91.07),(87.8 - 88.5),(85.97 - 87.21),(90.52 - 91.07),(87.7 - 88.43),(88.88 - 89.58)
18,SVM surf0 512,(87.69 - 88.82),(86.43 - 87.59),(89.33 - 90.36),(87.69 - 88.82),(87.29 - 88.5),(88.99 - 89.73)
19,SVM surf0 64,(89.26 - 89.83),(85.6 - 86.28),(81.8 - 83.05),(89.26 - 89.83),(85.52 - 86.01),(86.64 - 87.37)
20,SVM orb 128,(72.06 - 73.78),(72.02 - 73.76),(90.25 - 91.42),(72.06 - 73.78),(79.98 - 81.53),(79.18 - 80.5)
21,SVM orb 256,(61.18 - 62.99),(55.72 - 57.94),(95.36 - 96.31),(61.18 - 62.99),(55.17 - 58.19),(72.62 - 73.72)
22,SVM orb 64,(76.2 - 77.97),(75.35 - 77.37),(81.38 - 83.62),(76.2 - 77.97),(77.96 - 79.86),(77.95 - 79.82)
23,SVM brisk 128,(53.28 - 54.22),(48.4 - 49.8),(97.17 - 97.83),(53.28 - 54.22),(52.16 - 55.14),(71.41 - 72.12)
24,SVM brisk 256,(54.09 - 55.41),(48.78 - 50.65),(97.26 - 97.74),(54.09 - 55.41),(47.57 - 50.38),(71.92 - 72.79)
25,SVM brisk 64,(54.85 - 55.81),(51.84 - 53.24),(96.41 - 96.92),(54.85 - 55.81),(62.45 - 65.57),(71.99 - 72.72)
26,SVM kaze 128,(83.33 - 84.17),(80.78 - 81.67),(86.76 - 88.24),(83.33 - 84.17),(83.32 - 84.38),(84.2 - 84.94)
27,SVM kaze 256,(74.27 - 75.73),(73.34 - 74.64),(90.9 - 92.43),(74.27 - 75.73),(81.23 - 82.48),(79.78 - 80.9)
28,SVM kaze 64,(71.46 - 73.54),(69.85 - 72.04),(84.0 - 86.0),(71.46 - 73.54),(73.39 - 75.81),(77.98 - 79.2)
29,SVM akaze 128,(57.12 - 58.38),(54.03 - 55.79),(97.17 - 97.83),(57.12 - 58.38),(62.12 - 65.31),(73.54 - 74.41)
30,SVM akaze 256,(57.35 - 58.15),(54.61 - 55.9),(97.26 - 97.74),(57.35 - 58.15),(63.99 - 66.71),(73.73 - 74.21)
31,SVM akaze 64,(58.1 - 58.9),(57.28 - 58.35),(94.66 - 95.34),(58.1 - 58.9),(71.07 - 73.31),(73.05 - 73.71)
32,DecisionTree sift 128,(74.35 - 75.84),(73.81 - 75.29),(84.11 - 85.41),(74.35 - 75.84),(75.49 - 77.04),(78.25 - 79.46)
