,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
0,SVM_sift_128,84.68,81.16,80.42,100.0,78.92,80.42,84.18,85.19,80.22,82.1,79.57,81.27,86.72,88.28,78.02,79.81,79.57,81.27
1,SVM_sift_256,85.56,84.53,84.58,100.0,84.12,84.58,84.75,86.36,83.66,85.39,83.74,85.42,86.69,88.31,83.25,84.99,83.74,85.42
2,SVM_sift_32,81.35,80.8,70.83,100.0,71.97,70.83,81.06,81.64,79.91,81.7,70.27,71.4,96.32,97.01,71.3,72.64,70.27,71.4
3,SVM_sift_512,84.52,82.96,80.42,100.0,80.82,80.42,84.19,84.86,82.36,83.56,79.97,80.86,90.4,91.26,80.31,81.32,79.97,80.86
4,SVM_sift_64,87.78,88.77,86.67,100.0,85.68,86.67,87.21,88.35,88.24,89.3,85.95,87.39,89.31,90.69,84.99,86.38,85.95,87.39
5,SVM_surf_128,88.73,86.79,83.33,100.0,83.29,83.33,88.16,89.3,85.65,87.94,82.45,84.22,96.32,97.01,82.26,84.32,82.45,84.22
6,SVM_surf_256,80.95,77.77,75.42,100.0,74.04,75.42,80.29,81.62,76.64,78.9,74.48,76.35,91.96,93.04,73.0,75.09,74.48,76.35
7,SVM_surf_64,89.84,89.88,0.0,100.0,88.48,0.0,89.23,90.45,89.33,90.44,89.46,90.54,89.08,90.92,87.86,89.11,89.46,90.54
8,SVM_surf100_128,92.22,91.12,92.0,100.0,91.46,92.0,91.95,92.5,90.81,91.44,92.2,92.8,91.34,91.99,91.16,91.76,92.2,92.8
9,SVM_surf100_256,89.79,88.48,90.34,100.0,88.04,90.34,89.46,90.12,88.09,88.88,88.31,89.11,92.06,92.79,87.68,88.41,88.31,89.11
10,SVM_surf100_64,90.13,89.32,92.42,100.0,89.0,92.42,89.77,90.49,87.68,88.48,92.12,92.73,86.04,86.99,88.58,89.41,92.12,92.73
11,SVM_surf50_128,89.23,88.67,87.84,100.0,87.05,87.84,88.88,89.58,88.24,89.1,86.58,87.51,93.76,94.42,86.65,87.45,86.58,87.51
12,SVM_surf50_256,92.22,92.03,91.2,100.0,91.17,91.2,91.84,92.61,91.61,92.46,90.8,91.7,93.76,94.57,90.73,91.61,90.8,91.7
13,SVM_surf50_512,86.79,84.92,87.84,100.0,85.27,87.84,85.99,87.6,84.1,85.73,87.01,88.67,84.84,86.52,84.41,86.12,87.01,88.67
14,SVM_surf50_64,0.0,89.71,89.09,100.0,88.76,89.09,89.47,90.53,89.11,90.31,88.17,89.33,91.96,93.04,88.18,89.35,88.17,89.33
15,SVM_surf0_1024,87.22,87.06,87.01,100.0,84.98,87.01,86.69,87.76,86.47,87.66,84.72,86.11,90.29,91.37,84.3,85.66,84.72,86.11
16,SVM_surf0_128,88.68,88.29,89.58,100.0,87.12,89.58,87.27,88.28,86.78,87.82,89.1,90.06,83.49,84.84,86.59,87.64,89.1,90.06
17,SVM_surf0_256,89.23,88.07,90.8,100.0,88.15,90.8,88.88,89.58,87.7,88.43,90.52,91.07,85.97,87.21,87.8,88.5,90.52,91.07
18,SVM_surf0_512,89.35,87.89,88.26,100.0,87.01,88.26,88.99,89.73,87.29,88.5,87.69,88.82,89.33,90.36,86.43,87.59,87.69,88.82
19,SVM_surf0_64,87.01,87.04,89.54,100.0,85.94,89.54,86.64,87.37,85.52,86.01,89.26,89.83,81.8,83.05,85.6,86.28,89.26,89.83
20,SVM_orb_128,79.84,80.75,72.92,100.0,72.89,72.92,79.18,80.5,79.98,81.53,72.06,73.78,90.25,91.42,72.02,73.76,72.06,73.78
